# 这是接口或订阅源的白名单，白名单内的接口或订阅源获取的接口将不会参与测速，优先排序至结果最前。
# 填写频道名称会直接保留该记录至最终结果，如：CCTV-1,接口地址，只填写接口地址则对所有频道生效，多条记录换行输入。
# This is the whitelist of the interface or subscription source. The interface in the whitelist or the interface obtained by the subscription source will not participate in the speed measurement and will be prioritized in the result.
# Filling in the channel name will directly retain the record to the final result, such as: CCTV-1,url, only fill in the interface address will be effective for all channels, multiple records newline input.

CCTV-1,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1$订阅源-3840x2160
CCTV-8K,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1
阿坝汉语,http://112.45.192.49:9999/udp/239.10.0.50:5140
阿坝藏语,http://112.45.192.49:9999/udp/239.10.0.51:5140
love4k,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8?blog.ntnas.top
love4k,https://d18dyiwu97wm6q.cloudfront.net/v1/master/3722c60a815c199d9c0ef36c5b73da68a62b09d1/LoveNature4K2-prod/playlist.m3u8
4k超清,http://123.117.165.86:8118/rtp/239.3.1.249:8001
南国都市4K,http://183.7.129.76:8088/udp/239.253.43.99:5146
CCTV-4K,http://183.7.129.76:8088/udp/239.77.0.194:5146
百事通4K,http://116.232.238.226:10001/udp/239.45.1.42:5140
康巴卫视,http://218.88.86.15:4022/udp/239.93.0.41:5140



互助综合,http://livecdn.dmqhyadmin.com/hls/xjhuzhu.m3u8
互助综合,http://livecdn.dmqhyadmin.com/hls/xjhuzhuout.m3u8
化隆综合,http://livecdn.dmqhyadmin.com/hls/xjhualong.m3u8
海东综合,https://tv.hdhhy.cn/live/hdtv.m3u8
贵南综合,http://livecdn.dmqhyadmin.com/hls/xjguinan.m3u8
民和综合,http://livecdn.dmqhyadmin.com/hls/xjminhe.m3u8
都兰综合,http://livecdn.dmqhyadmin.com/hls/xjdulan.m3u8
门源综合,http://livecdn.dmqhyadmin.com/hls/xjmenyuan.m3u8
湟中综合,http://livecdn.dmqhyadmin.com/hls/xjhuangzhong.m3u8
大通综合,http://dtrmlive.qhdtrm.cn/testpush/sd/live.m3u8
兴海综合,http://lived.dmqhyadmin.com/xhzhpd/sd/live.m3u8
祁连综合,http://livecdn.dmqhyadmin.com/hls/xjqilian.m3u8
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8?zqinghd
青海经视,http://stream.qhbtv.com/qhsh/sd/live.m3u8?_upt=98a0159f1703588121
青海都市,http://stream.qhbtv.com/qhds/sd/live.m3u8?_upt=7a0d33531703588157
青海经视,http://stream.qhbtv.com/qhsh/playlist.m3u8
青海都市,http://stream.qhbtv.com/qhds/playlist.m3u8
西宁新闻综合,http://stream2.qhbtv.com/xwzh/playlist.m3u8
西宁新闻综合,https://liveout.xntv.tv/a65jur/96iln2.m3u8
西宁生活服务,https://liveout.xntv.tv/a65jur/90p2i1.m3u8
